config,segment,h,wis,mae,wape,mase,cov80,cov60,n,rel_wis_vs_snaive
tfm_expanding_sym,pre_covid,4,6316.044929180418,7919.467048267326,0.12194539284496805,0.29168852030667775,0.900990099009901,0.693069306930693,101,0.37441909897771825
tfm_slide156,pre_covid,1,3662.658788227831,4394.064302884615,0.0665706314937049,0.16106846651982284,0.8269230769230769,0.6153846153846154,104,0.22210197388332467
tfm_slide156,pre_covid,2,4939.194869201727,6212.468219053398,0.09447941453543818,0.22805361280099215,0.8349514563106796,0.6407766990291263,103,0.29498825491046016
tfm_slide156,pre_covid,3,5825.641043709151,7124.427696078431,0.10881448272020475,0.26247927356761486,0.8725490196078431,0.696078431372549,102,0.34405681984155995
tfm_slide156,pre_covid,4,6439.740790016502,7777.2240485767325,0.11975510928535514,0.2875693264904087,0.8811881188118812,0.7227722772277227,101,0.381751867075606
tfm_slide260,pre_covid,1,3681.1891150841348,4330.429124098558,0.06560655046416201,0.15866850181763298,0.8557692307692307,0.625,104,0.22322564453064686
tfm_slide260,pre_covid,2,4839.359806499461,5964.225804004855,0.09070413598114027,0.2184206031290322,0.8543689320388349,0.6407766990291263,103,0.2890257100614902
tfm_slide260,pre_covid,3,5654.475809334151,6982.336626838235,0.10664426402221117,0.2569585757394331,0.8921568627450981,0.6666666666666666,102,0.333947963877959
tfm_slide260,pre_covid,4,6297.357753197194,7710.926632116337,0.11873424961820894,0.28460727787545864,0.8811881188118812,0.7128712871287128,101,0.3733113114821368
naive,covid,1,2005.9659306440199,2240.9108280254777,0.08093018077442682,0.09005368990889615,0.9299363057324841,0.8152866242038217,157,0.125991274269827
naive,covid,2,3110.796588818118,3424.6369426751594,0.12368028365577156,0.1381099196900012,0.9299363057324841,0.7770700636942676,157,0.1937965646517931
naive,covid,3,4209.261967445152,4633.130573248408,0.1673248619066668,0.1870172024916472,0.9171974522292994,0.7707006369426752,157,0.26025069500326325
naive,covid,4,5310.101500353858,5888.1815286624205,0.21265085142507628,0.2380015680564306,0.9299363057324841,0.7707006369426752,157,0.3260262027412196
snaive,covid,1,15921.467119603682,22086.945859872612,0.7976669570424092,0.8685678341120091,0.8598726114649682,0.6624203821656051,157,1.0
snaive,covid,2,16051.86652512385,22195.1974522293,0.8015764481426265,0.8742481948006897,0.8535031847133758,0.6560509554140127,157,1.0
snaive,covid,3,16173.87406935598,22294.936305732484,0.8051785028711314,0.8795490263315966,0.8535031847133758,0.6496815286624203,157,1.0
snaive,covid,4,16287.345789101204,22395.04458598726,0.8087938993950415,0.8847684456978004,0.8535031847133758,0.6496815286624203,157,1.0
tfm_expanding,covid,1,1796.0806050402514,2232.584046576433,0.08062946022833793,0.08951462622953067,0.8089171974522293,0.5859872611464968,157,0.11280873750816499
