p_star,alerts,sensitivity,false_alarm_per100,ppv,tp,fp,fn,tn,mode,model,auc,n_weeks,event_weeks
0.5,1851,0.12491128459900638,13.317961358034507,0.09508373851971907,176,1675,1233,10902,asof,snaive,0.6632277322156834,13986,1409
0.6,1796,0.12065294535131299,12.928361294426335,0.09465478841870824,170,1626,1239,10951,asof,snaive,0.6632277322156834,13986,1409
0.7,1732,0.11639460610361958,12.467202035461558,0.09468822170900693,164,1568,1245,11009,asof,snaive,0.6632277322156834,13986,1409
0.8,1607,0.11355571327182398,11.505128409000557,0.09956440572495333,160,1447,1249,11130,asof,snaive,0.6632277322156834,13986,1409
0.9,1389,0.10645848119233499,9.85131589409239,0.1079913606911447,150,1239,1259,11338,asof,snaive,0.6632277322156834,13986,1409
0.2,1847,0.6502820306204674,8.160062769713614,0.43692474282620464,807,1040,434,11705,asof_adj,tfm,0.8871414079370684,13986,1241
0.3,1305,0.5253827558420628,5.123577873675951,0.49961685823754787,652,653,589,12092,asof_adj,tfm,0.8871414079370684,13986,1241
0.4,923,0.43190975020145045,3.036484896037662,0.580715059588299,536,387,705,12358,asof_adj,tfm,0.8871414079370684,13986,1241
0.5,673,0.3448831587429492,1.9223224794036877,0.6359583952451708,428,245,813,12500,asof_adj,tfm,0.8871414079370684,13986,1241
0.6,473,0.25543916196615635,1.224009415457042,0.6701902748414377,317,156,924,12589,asof_adj,tfm,0.8871414079370684,13986,1241
0.7,335,0.185334407735697,0.8238524911730091,0.6865671641791045,230,105,1011,12640,asof_adj,tfm,0.8871414079370684,13986,1241
0.8,199,0.11845286059629331,0.40800313848568065,0.7386934673366834,147,52,1094,12693,asof_adj,tfm,0.8871414079370684,13986,1241
0.9,103,0.06285253827558421,0.19615535504119264,0.7572815533980582,78,25,1163,12720,asof_adj,tfm,0.8871414079370684,13986,1241
0.2,499,0.23126510878323933,1.6633974107493135,0.5751503006012024,287,212,954,12533,asof_adj,naive,0.7578214458340934,13986,1241
0.3,421,0.22401289282836423,1.1220086308356219,0.6603325415676959,278,143,963,12602,asof_adj,naive,0.7578214458340934,13986,1241
0.4,410,0.22401289282836423,1.035700274617497,0.6780487804878049,278,132,963,12613,asof_adj,naive,0.7578214458340934,13986,1241
0.5,410,0.22401289282836423,1.035700274617497,0.6780487804878049,278,132,963,12613,asof_adj,naive,0.7578214458340934,13986,1241
0.6,410,0.22401289282836423,1.035700274617497,0.6780487804878049,278,132,963,12613,asof_adj,naive,0.7578214458340934,13986,1241
0.7,410,0.22401289282836423,1.035700274617497,0.6780487804878049,278,132,963,12613,asof_adj,naive,0.7578214458340934,13986,1241
0.8,410,0.22401289282836423,1.035700274617497,0.6780487804878049,278,132,963,12613,asof_adj,naive,0.7578214458340934,13986,1241
0.9,404,0.2199838839645447,1.0278540604158493,0.6757425742574258,273,131,968,12614,asof_adj,naive,0.7578214458340934,13986,1241
0.2,2526,0.16921837228041903,18.171832091016086,0.0831353919239905,210,2316,1031,10429,asof_adj,snaive,0.6555475927264772,13986,1241
0.3,2245,0.1514907332796132,16.13966261278933,0.08374164810690424,188,2057,1053,10688,asof_adj,snaive,0.6555475927264772,13986,1241
0.4,1982,0.13215149073327961,14.264417418595528,0.08274470232088799,164,1818,1077,10927,asof_adj,snaive,0.6555475927264772,13986,1241
0.5,1828,0.11764705882352941,13.19733228717144,0.07986870897155361,146,1682,1095,11063,asof_adj,snaive,0.6555475927264772,13986,1241
0.6,1772,0.11200644641418211,12.812867791290703,0.07844243792325056,139,1633,1102,11112,asof_adj,snaive,0.6555475927264772,13986,1241
0.7,1710,0.10878323932312652,12.357787367595135,0.07894736842105263,135,1575,1106,11170,asof_adj,snaive,0.6555475927264772,13986,1241
0.8,1586,0.1063658340048348,11.408395449195764,0.0832282471626734,132,1454,1109,11291,asof_adj,snaive,0.6555475927264772,13986,1241
0.9,1369,0.10072522159548751,9.760690466849745,0.09130752373995617,125,1244,1116,11501,asof_adj,snaive,0.6555475927264772,13986,1241
